červené;červená,červený,červené
hřivnatí;hřivnatý,hřivnatá,hřivnaté
žirafy;žirafa
losí;losí
pštrosi;pštros
přímorožci;přímorožec
antilopy;antilopa
giboni;gibon
plameňáci;plameňák
tamaríni;tamarín
gepardi;gepard
pelikáni;pelikán
mravenečníci;mravenečník
sitatungy;sitatunga
tygři;tygr
gorily;gorila
lvi;lev
želvy;želva
sovy;sova
vodušky;voduška
surikaty;surikata
anoa;anoa
hyeny;hyena
velbloudi;velbloud
zubři;zubr
vlci;vlk
sobi;sob
zebry;zebra
klokani;klokan
sambaři;sambar
jeleni;jelen
kasuáři;kasuár
magoti;magot
lachtani;lachtan
chápani;chápan
orli;orel
tapíři;tapír
supi;sup
bažanti;bažant
psouni;psoun
lemuři;lemur
pandy;panda
tučňáci;tučňák
varani;varan
kotulové;kotul
kolpíci;kolpík
ibisové;ibis
paovce;paovce
hrabáči;hrabáč
štětkouni;štětkoun
jihoamerické;jihoamerická,jihoamerický,jihoamerické
lamy;lama
pekariové;pekari
takini;takin
nosáli;nosál
adaxi;adax
koně;kůň
Převalského;Převalský,Převalského
loriové;lori
emuové;emu
Peacock;Peacock
Parrots;Parrot
dvojzoborožci;dvojzoborožec
sojkovci;sojkovec
lední;lední
vydry;vydra
medojedi;medojed
urzoni;urzon
mangusty;mangusta
Tyras;Tyra
Leopards;Leopard
člunozobci;člunozobec
kiangové;kiang
šelmy;šelma
medvědi;medvěd
dikobrazi;dikobraz
kachny;kachna
jeřábi;jeřáb
levharti;levhart
bizoni;bizon
losi;los
orlosupi;orlosup
kozorožci;kozorožec
tahři;tahr
